,IRON_FEED_PERC_mean,SILICA_FEED_PERC_mean,STARCH_FLOW_mean,AMINA_FLOW_mean,ORE_PULP_FLOW_mean,ORE_PULP_PH_mean,ORE_PULP_DENSITY_mean,FLOTATION_COLUMN_01_AIR_FLOW_mean,FLOTATION_COLUMN_02_AIR_FLOW_mean,FLOTATION_COLUMN_03_AIR_FLOW_mean,FLOTATION_COLUMN_04_AIR_FLOW_mean,FLOTATION_COLUMN_05_AIR_FLOW_mean,FLOTATION_COLUMN_06_AIR_FLOW_mean,FLOTATION_COLUMN_07_AIR_FLOW_mean,FLOTATION_COLUMN_01_LEVEL_mean,FLOTATION_COLUMN_02_LEVEL_mean,FLOTATION_COLUMN_03_LEVEL_mean,FLOTATION_COLUMN_04_LEVEL_mean,FLOTATION_COLUMN_05_LEVEL_mean,FLOTATION_COLUMN_06_LEVEL_mean,FLOTATION_COLUMN_07_LEVEL_mean,IRON_CONCENTRATE_PERC_mean
IRON_FEED_PERC_mean,1.0,-0.915483416225163,0.010899245868042712,-0.1131552068876464,-0.05883581249542363,0.006090382002096062,-0.17109677070766435,-0.050777413133484564,-0.11224840381715498,-0.08841025285646562,-0.08022523545722915,0.17024324753527564,-0.02105534301505645,-0.022583122751527615,0.034991097243567616,0.034637931680535375,0.02882301389200386,0.0320386922438253,0.054160795939341935,0.025450947721127003,0.0655172606830955,0.0686382083495845
SILICA_FEED_PERC_mean,-0.915483416225163,1.0,0.0007900634055513142,0.12139073021597171,0.05466981908397888,-0.006384786093802313,0.1885308503826139,0.046847471107616535,0.10956120541583261,0.0813987253396516,0.0777607743948714,-0.16139684807155608,0.026862157408385545,0.02207925894864962,-0.03282432691872965,-0.043875855990023194,-0.0316675539087937,-0.050900475228346176,-0.07584805716585771,-0.04055675233771176,-0.08645258964080599,-0.06261280039844988
STARCH_FLOW_mean,0.010899245868042712,0.0007900634055513142,1.0,0.186463205632762,0.054720917419418896,0.3704591596294926,0.13263539616150632,0.14907268216365188,0.13517620710828943,0.12914752566287152,0.07953819449333711,-0.07154292875371684,0.20660436031884985,0.16848128823031544,-0.2690365466773621,-0.2741818395808904,-0.28479970402627486,0.04724581881642345,-0.01271707834958954,-0.04207061983245841,-0.011585712032422047,0.10652760683879807
AMINA_FLOW_mean,-0.1131552068876464,0.12139073021597171,0.186463205632762,1.0,-0.048507310085998435,0.06960664339459094,0.3497402753385295,0.058555637261346896,0.12810028377011484,0.08018570717957745,0.02670477098679625,-0.06317549592026188,0.10063264025786778,0.08256802076194918,-0.2345073238543921,-0.19524353437776298,-0.22874389156248176,-0.18531616274117202,-0.1927654297286698,-0.18344799742614765,-0.15500200901330674,-0.20539209371530753
ORE_PULP_FLOW_mean,-0.05883581249542363,0.05466981908397888,0.054720917419418896,-0.048507310085998435,1.0,0.2019383240987013,-0.08493124680233785,0.04168688367978236,0.00931405036425254,0.0990308552515592,0.1800056355353763,-0.05667329432421462,-0.004883500809812681,0.001625561374049641,-0.03143976690621139,-0.05368193201270852,-0.02591041720937414,0.13639710881111752,0.1150163205864257,0.027961966919916446,0.10032007138997831,0.12811146264183657
ORE_PULP_PH_mean,0.006090382002096062,-0.006384786093802313,0.3704591596294926,0.06960664339459094,0.2019383240987013,1.0,0.003978955766495253,0.15617417208976234,0.10700178520005961,0.17599951764370092,0.22785742896111597,-0.07695113861319249,0.13286030272070004,0.1043355193738853,-0.14224103625533424,-0.14063286089765512,-0.12325139871220557,0.07381833599674313,0.043871978822636194,-0.07129657811733506,0.044050691771052544,0.2284088309331266
ORE_PULP_DENSITY_mean,-0.17109677070766435,0.1885308503826139,0.13263539616150632,0.3497402753385295,-0.08493124680233785,0.003978955766495253,1.0,-0.07054074306498533,-0.0397666457484889,-0.05173464373464712,-0.10532519821589016,0.04068925491753995,-0.10545861369029316,-0.11453405989161033,0.016868476434732146,0.021018668629534568,0.008149648097080924,-0.04283708373268401,-0.07460819416956843,-0.050294309596427084,-0.045533454533351794,-0.04015217247997307
FLOTATION_COLUMN_01_AIR_FLOW_mean,-0.050777413133484564,0.046847471107616535,0.14907268216365188,0.058555637261346896,0.04168688367978236,0.15617417208976234,-0.07054074306498533,1.0,0.5382832892741249,0.6519172522373246,0.2928925432331836,-0.08996474150342586,0.37235408737559056,0.3526710910765783,-0.23710993357231558,-0.2228251943353111,-0.21079281761893648,0.04030641198578227,0.008351516154231724,-0.013207878903498503,-0.008459081598519219,0.11063736889463445
FLOTATION_COLUMN_02_AIR_FLOW_mean,-0.11224840381715498,0.10956120541583261,0.13517620710828943,0.12810028377011484,0.00931405036425254,0.10700178520005961,-0.0397666457484889,0.5382832892741249,1.0,0.5831803560392899,0.1652427450950661,-0.08111741627259371,0.3322747826307168,0.3667063298546808,-0.2963762512921115,-0.3032898617904963,-0.2811060619142689,-0.00984223577857345,-0.031566350257119936,-0.035448593618331845,-0.03282168210125909,0.04206400265737905
FLOTATION_COLUMN_03_AIR_FLOW_mean,-0.08841025285646562,0.0813987253396516,0.12914752566287152,0.08018570717957745,0.0990308552515592,0.17599951764370092,-0.05173464373464712,0.6519172522373246,0.5831803560392899,1.0,0.2808476759509667,-0.06525792666202618,0.39309159603213045,0.41013728319773307,-0.22970193394734773,-0.2080615004296122,-0.21088931430037103,0.03388287785834019,0.019422076845390997,-0.010203041859484244,0.006425950769509471,0.12740292808335024
FLOTATION_COLUMN_04_AIR_FLOW_mean,-0.08022523545722915,0.0777607743948714,0.07953819449333711,0.02670477098679625,0.1800056355353763,0.22785742896111597,-0.10532519821589016,0.2928925432331836,0.1652427450950661,0.2808476759509667,1.0,-0.14724744168004747,0.27035396924889726,0.28236618025947624,-0.15610774789463797,-0.1870746673362761,-0.11559624511379943,-0.13732908184598905,-0.1695294196660021,-0.2037511999744952,-0.17277030064668342,-0.059931848734531744
FLOTATION_COLUMN_05_AIR_FLOW_mean,0.17024324753527564,-0.16139684807155608,-0.07154292875371684,-0.06317549592026188,-0.05667329432421462,-0.07695113861319249,0.04068925491753995,-0.08996474150342586,-0.08111741627259371,-0.06525792666202618,-0.14724744168004747,1.0,-0.16612039281259058,-0.1711271163101173,0.12037632724132448,0.07896988818507306,0.1108901310532463,0.04635453401088801,0.09080946296673291,0.06825175964377889,0.08957411603166282,0.11138253529185875
FLOTATION_COLUMN_06_AIR_FLOW_mean,-0.02105534301505645,0.026862157408385545,0.20660436031884985,0.10063264025786778,-0.004883500809812681,0.13286030272070004,-0.10545861369029316,0.37235408737559056,0.3322747826307168,0.39309159603213045,0.27035396924889726,-0.16612039281259058,1.0,0.6228281750378507,-0.30385580444798765,-0.2601012767063279,-0.3184593785262879,-0.18386440244663138,-0.21332358169952806,-0.20933232561091197,-0.229234823341577,-0.044678118339823915
FLOTATION_COLUMN_07_AIR_FLOW_mean,-0.022583122751527615,0.02207925894864962,0.16848128823031544,0.08256802076194918,0.001625561374049641,0.1043355193738853,-0.11453405989161033,0.3526710910765783,0.3667063298546808,0.41013728319773307,0.28236618025947624,-0.1711271163101173,0.6228281750378507,1.0,-0.280265347909484,-0.24155020722353812,-0.2686290989839037,-0.18668430226588975,-0.2105850890622714,-0.20120682136707876,-0.23247004514688416,-0.06503361129587523
FLOTATION_COLUMN_01_LEVEL_mean,0.034991097243567616,-0.03282432691872965,-0.2690365466773621,-0.2345073238543921,-0.03143976690621139,-0.14224103625533424,0.016868476434732146,-0.23710993357231558,-0.2963762512921115,-0.22970193394734773,-0.15610774789463797,0.12037632724132448,-0.30385580444798765,-0.280265347909484,1.0,0.7067308457584254,0.7556883053237163,0.23860035684706946,0.26423637958919655,0.2741152744341118,0.24592348770498323,0.034074163798383864
FLOTATION_COLUMN_02_LEVEL_mean,0.034637931680535375,-0.043875855990023194,-0.2741818395808904,-0.19524353437776298,-0.05368193201270852,-0.14063286089765512,0.021018668629534568,-0.2228251943353111,-0.3032898617904963,-0.2080615004296122,-0.1870746673362761,0.07896988818507306,-0.2601012767063279,-0.24155020722353812,0.7067308457584254,1.0,0.6604104271890647,0.21197333342337313,0.2383965613795771,0.2814548054006522,0.22862957315823162,0.01837742536857128
FLOTATION_COLUMN_03_LEVEL_mean,0.02882301389200386,-0.0316675539087937,-0.28479970402627486,-0.22874389156248176,-0.02591041720937414,-0.12325139871220557,0.008149648097080924,-0.21079281761893648,-0.2811060619142689,-0.21088931430037103,-0.11559624511379943,0.1108901310532463,-0.3184593785262879,-0.2686290989839037,0.7556883053237163,0.6604104271890647,1.0,0.22356845140044868,0.2562478384415652,0.2769739580745693,0.23312730294907716,0.013266668644009327
FLOTATION_COLUMN_04_LEVEL_mean,0.0320386922438253,-0.050900475228346176,0.04724581881642345,-0.18531616274117202,0.13639710881111752,0.07381833599674313,-0.04283708373268401,0.04030641198578227,-0.00984223577857345,0.03388287785834019,-0.13732908184598905,0.04635453401088801,-0.18386440244663138,-0.18668430226588975,0.23860035684706946,0.21197333342337313,0.22356845140044868,1.0,0.7691773946690964,0.6405858311743876,0.7329102426878427,0.25125575633604613
FLOTATION_COLUMN_05_LEVEL_mean,0.054160795939341935,-0.07584805716585771,-0.01271707834958954,-0.1927654297286698,0.1150163205864257,0.043871978822636194,-0.07460819416956843,0.008351516154231724,-0.031566350257119936,0.019422076845390997,-0.1695294196660021,0.09080946296673291,-0.21332358169952806,-0.2105850890622714,0.26423637958919655,0.2383965613795771,0.2562478384415652,0.7691773946690964,1.0,0.6469203731314125,0.771028195163222,0.26100208615540854
FLOTATION_COLUMN_06_LEVEL_mean,0.025450947721127003,-0.04055675233771176,-0.04207061983245841,-0.18344799742614765,0.027961966919916446,-0.07129657811733506,-0.050294309596427084,-0.013207878903498503,-0.035448593618331845,-0.010203041859484244,-0.2037511999744952,0.06825175964377889,-0.20933232561091197,-0.20120682136707876,0.2741152744341118,0.2814548054006522,0.2769739580745693,0.6405858311743876,0.6469203731314125,1.0,0.701805989609084,0.17853722354481574
FLOTATION_COLUMN_07_LEVEL_mean,0.0655172606830955,-0.08645258964080599,-0.011585712032422047,-0.15500200901330674,0.10032007138997831,0.044050691771052544,-0.045533454533351794,-0.008459081598519219,-0.03282168210125909,0.006425950769509471,-0.17277030064668342,0.08957411603166282,-0.229234823341577,-0.23247004514688416,0.24592348770498323,0.22862957315823162,0.23312730294907716,0.7329102426878427,0.771028195163222,0.701805989609084,1.0,0.2335297184761911
IRON_CONCENTRATE_PERC_mean,0.0686382083495845,-0.06261280039844988,0.10652760683879807,-0.20539209371530753,0.12811146264183657,0.2284088309331266,-0.04015217247997307,0.11063736889463445,0.04206400265737905,0.12740292808335024,-0.059931848734531744,0.11138253529185875,-0.044678118339823915,-0.06503361129587523,0.034074163798383864,0.01837742536857128,0.013266668644009327,0.25125575633604613,0.26100208615540854,0.17853722354481574,0.2335297184761911,1.0
